City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,loreto,22.2667,-101.9667,70.72,47,96,6.91,MX,1689867454
1,tari,12.4086,4.4914,96.87,37,32,6.8,NG,1689867454
2,edinburgh of the seven seas,-37.0676,-12.3116,53.29,64,34,24.9,SH,1689867454
3,qaqortoq,60.7167,-46.0333,47.53,87,100,7.9,GL,1689867347
4,waslala,13.2333,-85.3833,83.61,68,37,8.01,NI,1689867454
5,bodden town,19.2833,-81.25,84.2,83,75,19.57,KY,1689867387
6,yemetsk,63.4721,41.7941,68.31,87,80,6.67,RU,1689867454
7,blackmans bay,-43.0167,147.3167,43.52,85,75,5.75,AU,1689867455
8,bredasdorp,-34.5322,20.0403,50.99,66,10,12.57,ZA,1689867455
9,ushuaia,-54.8,-68.3,31.66,93,100,4.61,AR,1689867455
10,grytviken,-54.2811,-36.5092,23.99,84,100,3.04,GS,1689867455
11,college,64.8569,-147.8028,62.58,94,100,4.61,US,1689867455
12,ilulissat,69.2167,-51.1,48.22,87,75,9.22,GL,1689867455
13,nemuro,43.3236,145.575,57.04,92,31,5.28,JP,1689867455
14,longyearbyen,78.2186,15.6401,55.24,54,20,18.41,SJ,1689867455
15,taganrog,47.2362,38.8969,77.43,47,95,4.56,RU,1689867281
16,ust-nera,64.5667,143.2,66.34,53,57,5.86,RU,1689867450
17,dudinka,69.4058,86.1778,65.62,94,89,11.59,RU,1689867377
18,waitangi,-43.9535,-176.5597,43.83,92,100,1.99,NZ,1689867456
19,maputo,-25.9653,32.5892,60.48,72,100,17.27,MZ,1689867456
20,margaret river,-33.95,115.0667,58.44,74,65,19.15,AU,1689867431
21,kirensk,57.7853,108.1119,58.03,81,27,0.31,RU,1689867456
22,bethel,41.3712,-73.414,84.22,61,0,4.61,US,1689867255
23,lazaro cardenas,17.9583,-102.2,83.88,74,99,4.0,MX,1689867456
24,saldanha,-33.0117,17.9442,60.85,62,0,12.8,ZA,1689867456
25,saint john,45.2727,-66.0677,78.03,65,40,4.61,CA,1689867422
26,port-aux-francais,-49.35,70.2167,35.02,64,52,42.41,TF,1689867259
27,kesap,40.9164,38.5144,78.62,73,7,3.42,TR,1689867457
28,puerto natales,-51.7236,-72.4875,35.1,99,100,2.91,CL,1689867351
29,oranjemund,-28.55,16.4333,63.57,38,0,12.71,NA,1689867457
30,montepuez,-13.1256,38.9997,76.17,44,60,7.49,MZ,1689867457
31,ketchikan,55.3422,-131.6461,61.27,88,75,8.05,US,1689867457
32,albany,42.6001,-73.9662,80.94,60,1,3.0,US,1689867296
33,agat village,13.3886,144.6585,83.34,83,20,5.75,GU,1689867458
34,bilibino,68.0546,166.4372,55.09,78,95,1.52,RU,1689867458
35,haiku-pauwela,20.9219,-156.3051,76.05,91,20,14.97,US,1689867406
36,kodiak,57.79,-152.4072,51.31,100,100,0.0,US,1689867459
37,horta,38.5333,-28.6333,73.02,91,20,5.75,PT,1689867459
38,ribeira grande,38.5167,-28.7,73.78,88,20,5.75,PT,1689867256
39,saipan,15.1355,145.701,83.1,100,20,8.05,MP,1689867459
40,utrik,11.2278,169.8474,82.89,78,100,16.78,MH,1689867459
41,orland,39.7474,-122.1964,89.44,39,0,5.1,US,1689867459
42,minas de marcona,-15.2119,-75.1103,63.97,60,34,8.03,PE,1689867459
43,bodo,67.28,14.405,62.94,76,40,5.75,NO,1689867297
44,jamestown,42.097,-79.2353,81.01,55,0,8.05,US,1689867262
45,tura,25.5198,90.2201,77.54,93,99,4.43,IN,1689867460
46,namtsy,62.7161,129.6658,54.23,97,100,3.91,RU,1689867460
47,saint-christol-les-ales,44.0833,4.0833,94.51,17,0,9.71,FR,1689867460
48,shushtar,32.0455,48.8567,108.1,5,0,3.27,IR,1689867460
49,badger,64.8,-147.5333,62.51,94,100,4.61,US,1689867368
50,iqaluit,63.7506,-68.5145,38.93,100,100,5.75,CA,1689867344
51,the pas,53.8251,-101.2541,71.62,60,0,4.61,CA,1689867460
52,paphos,34.7667,32.4167,85.78,74,0,12.66,CY,1689867460
53,nova sintra,14.8667,-24.7167,74.39,78,93,9.69,CV,1689867257
54,adamstown,-25.066,-130.1015,72.93,81,100,33.51,PN,1689867461
55,crescent city,41.756,-124.2018,59.49,95,100,0.0,US,1689867461
56,tingi,-11.3,35.0333,63.5,56,4,4.18,TZ,1689867461
57,vadso,70.0744,29.7487,49.08,93,75,21.85,NO,1689867461
58,velingrad,42.0272,23.9957,85.89,46,55,3.31,BG,1689867461
59,al muwayh,22.4333,41.7583,98.01,9,42,9.86,SA,1689867461
60,gargalianoi,37.0667,21.6333,95.36,51,0,5.21,GR,1689867461
61,anadyr,64.75,177.4833,52.3,87,75,8.95,RU,1689867462
62,kingston,17.997,-76.7936,90.25,63,40,19.57,JM,1689867462
63,chonchi,-42.6128,-73.8092,54.12,87,97,10.63,CL,1689867196
64,hermanus,-34.4187,19.2345,55.8,65,3,17.49,ZA,1689867462
65,dingcheng,32.1272,115.0394,78.08,92,68,3.58,CN,1689867462
66,kauhava,63.103,23.0713,65.07,55,98,6.06,FI,1689867462
67,yellowknife,62.456,-114.3525,72.12,56,100,2.3,CA,1689867183
68,quatre cocos,-20.2078,57.7625,73.09,71,28,9.91,MU,1689867462
69,biel/bienne,47.1324,7.2441,84.72,42,46,5.75,CH,1689867463
70,papatowai,-46.5619,169.4708,42.12,70,6,16.91,NZ,1689867258
71,tiznit,29.5833,-9.5,88.47,35,0,8.66,MA,1689867463
72,klyuchi,52.2667,79.1667,72.1,55,84,7.94,RU,1689867463
73,aripuana,-9.1667,-60.6333,94.5,25,32,4.16,BR,1689867463
74,chunskiy,56.0815,99.6342,59.85,65,0,2.98,RU,1689867463
75,talnakh,69.4865,88.3972,65.21,88,95,8.72,RU,1689867463
76,nanao,37.05,136.9667,76.3,94,45,4.07,JP,1689867463
77,zarichne,51.8126,26.129,64.58,73,73,7.52,UA,1689867463
78,bhamo,24.2667,97.2333,77.4,97,100,1.3,MM,1689867464
79,tiksi,71.6872,128.8694,42.85,64,70,6.2,RU,1689867464
80,volodarskiy,46.4013,48.5409,87.75,30,9,6.31,RU,1689867464
81,auki,-8.7676,160.7034,77.7,91,98,3.49,SB,1689867464
82,west island,-12.1568,96.8225,78.78,73,40,14.97,CC,1689867255
83,nicoya,10.1483,-85.452,86.34,67,47,9.06,CR,1689867464
84,puerto san jose,13.9256,-90.8244,86.38,61,12,3.13,GT,1689867464
85,labrador city,52.9463,-66.9114,58.91,72,100,5.75,CA,1689867388
86,wailua homesteads,22.0669,-159.378,77.79,89,20,19.57,US,1689867464
